iter	Passed	Remaining
0	1	123
1	2	110
2	3	100
3	3	93
4	4	91
5	5	89
6	6	89
7	7	88
8	8	87
9	9	86
10	10	86
11	11	85
12	12	84
13	13	85
14	15	85
15	16	84
16	17	84
17	18	83
18	19	82
19	20	81
20	21	79
21	22	78
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	32	68
32	33	67
33	34	66
34	35	66
35	36	65
36	38	64
37	39	63
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	57
44	46	57
45	47	56
46	49	55
47	49	54
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	105	1
99	106	0
