iter	Passed	Remaining
0	142	141900
1	142	71316
2	143	47789
3	144	36000
4	145	28922
5	146	24210
6	147	20874
7	148	18365
8	149	16413
9	149	14846
10	150	13556
11	151	12475
12	152	11560
13	153	10780
14	153	10100
15	154	9506
16	155	8980
17	155	8509
18	156	8090
19	157	7714
20	158	7373
21	158	7064
22	159	6780
23	160	6539
24	161	6309
25	162	6091
26	163	5889
27	164	5700
28	164	5523
29	165	5359
30	166	5208
31	167	5067
32	168	4933
33	169	4806
34	170	4687
35	170	4572
36	171	4463
37	172	4360
38	173	4263
39	173	4171
40	174	4087
41	175	4007
42	176	3935
43	177	3865
44	178	3792
45	179	3722
46	180	3654
47	181	3589
48	181	3529
49	182	3471
50	183	3414
51	184	3358
52	184	3305
53	185	3254
54	186	3206
55	187	3159
56	188	3117
57	189	3075
58	190	3036
59	191	2998
60	192	2961
61	193	2924
62	194	2889
63	195	2854
64	195	2818
65	196	2782
66	197	2747
67	198	2713
68	198	2681
69	199	2649
70	200	2617
71	200	2587
72	201	2557
73	202	2529
74	203	2504
75	204	2480
76	204	2455
77	205	2433
78	206	2408
79	207	2384
80	208	2360
81	208	2337
82	209	2311
83	209	2289
84	210	2268
85	211	2246
86	212	2225
87	212	2205
88	213	2185
89	214	2165
90	214	2146
91	215	2127
92	216	2110
93	217	2094
94	218	2080
95	219	2066
96	220	2052
97	221	2038
98	222	2022
99	223	2007
100	223	1992
101	224	1977
102	225	1963
103	226	1949
104	227	1936
105	227	1921
106	228	1907
107	229	1893
108	230	1880
109	230	1866
110	231	1853
111	232	1840
112	233	1829
113	234	1818
114	235	1808
115	235	1797
116	236	1786
117	237	1775
118	238	1765
119	239	1753
120	239	1742
121	240	1729
122	241	1718
123	241	1707
124	242	1697
125	243	1686
126	243	1675
127	244	1665
128	245	1655
129	245	1644
130	246	1635
131	247	1625
132	248	1617
133	249	1610
134	250	1602
135	250	1594
136	251	1586
137	252	1577
138	253	1569
139	254	1561
140	255	1554
141	255	1544
142	256	1537
143	257	1529
144	258	1522
145	258	1514
146	259	1507
147	260	1500
148	261	1493
149	262	1486
150	263	1481
151	264	1475
152	265	1468
153	266	1461
154	266	1454
155	267	1447
156	268	1439
157	268	1432
158	269	1425
159	270	1418
160	270	1410
161	271	1403
162	272	1397
163	272	1390
164	273	1383
165	274	1377
166	274	1370
167	275	1364
168	276	1358
169	276	1352
170	277	1346
171	278	1342
172	280	1338
173	280	1333
174	281	1327
175	282	1321
176	282	1315
177	283	1309
178	284	1304
179	285	1298
180	285	1293
181	286	1288
182	287	1282
183	288	1277
184	288	1271
185	289	1266
186	290	1260
187	290	1255
188	291	1250
189	292	1245
190	293	1241
191	294	1238
192	295	1233
193	295	1229
194	296	1224
195	297	1219
196	297	1214
197	298	1209
198	299	1205
199	300	1200
200	301	1196
201	301	1191
202	302	1186
203	303	1182
204	303	1177
205	304	1173
206	305	1168
207	305	1164
208	306	1159
209	307	1155
210	308	1152
211	309	1148
212	310	1146
213	311	1142
214	311	1138
215	312	1135
216	313	1131
217	314	1127
218	315	1124
219	316	1120
220	316	1116
221	317	1113
222	318	1110
223	319	1106
224	320	1103
225	321	1099
226	322	1096
227	323	1093
228	323	1090
229	324	1087
230	325	1084
231	326	1081
232	327	1079
233	328	1076
234	329	1072
235	330	1069
236	331	1066
237	332	1063
238	332	1059
239	333	1056
240	334	1053
241	335	1050
242	336	1047
243	337	1044
244	338	1041
245	339	1039
246	339	1036
247	340	1033
248	341	1030
249	342	1027
250	343	1024
251	344	1021
252	344	1018
253	345	1015
254	346	1012
255	347	1009
256	348	1007
257	349	1004
258	350	1001
259	350	998
260	351	995
261	352	993
262	353	991
263	354	989
264	355	986
265	356	983
266	357	980
267	357	977
268	358	975
269	359	972
270	360	968
271	361	966
272	361	963
273	362	960
274	363	957
275	363	954
276	364	952
277	365	949
278	366	947
279	367	945
280	368	942
281	369	940
282	370	938
283	371	936
284	372	933
285	373	931
286	374	929
287	375	927
288	376	925
289	377	923
290	377	920
291	378	918
292	379	915
293	380	912
294	380	910
295	381	907
296	382	906
297	383	904
298	384	902
299	385	899
